storey,wall_name,x1,y1,x2,y2,length_m
Ground Floor,WAL-I-007,25.5056,-21.9726,25.5737,-22.0458,0.1
Ground Floor,WAL-I-007,27.0617,-23.4993,26.4589,-22.9979,0.7841
Ground Floor,WAL-I-007,26.9884,-23.5674,26.4589,-22.9979,0.7777
Ground Floor,WAL-I-007,25.5056,-21.9726,25.5737,-22.0458,0.1
Ground Floor,WAL-I-007,27.0617,-23.4993,26.5321,-22.9298,0.7777
Ground Floor,WAL-I-007,25.778,-22.2655,25.8512,-22.1974,0.1
Ground Floor,WAL-I-007,25.8512,-22.1974,25.6469,-21.9777,0.3
Ground Floor,WAL-I-007,25.5788,-21.9045,25.6469,-21.9777,0.1
Ground Floor,WAL-I-007,26.4589,-22.9979,26.5321,-22.9298,0.1
Ground Floor,WAL-I-007,25.778,-22.2655,25.5056,-21.9726,0.4
Ground Floor,WAL-I-007,25.5056,-21.9726,25.5788,-21.9045,0.1
Ground Floor,WAL-I-007,25.5788,-21.9045,25.6469,-21.9777,0.1
Ground Floor,WAL-I-007,25.5056,-21.9726,25.5788,-21.9045,0.1
Ground Floor,WAL-I-007,25.778,-22.2655,25.8512,-22.1974,0.1
Ground Floor,WAL-I-007,25.8512,-22.1974,25.5788,-21.9045,0.4
Ground Floor,WAL-I-007,26.4589,-22.9979,26.5321,-22.9298,0.1
Ground Floor,WAL-I-007,25.778,-22.2655,25.8512,-22.1974,0.1
Ground Floor,WAL-I-005,29.2734,-21.4429,28.6143,-22.0557,0.9
Ground Floor,WAL-I-005,29.3415,-21.5161,29.2734,-21.4429,0.1
Ground Floor,WAL-I-005,28.6823,-22.129,28.6143,-22.0557,0.1
Ground Floor,WAL-I-005,29.3415,-21.5161,28.6823,-22.129,0.9
Ground Floor,WAL-I-005,29.2734,-21.4429,28.6823,-22.129,0.9055
Ground Floor,WAL-I-002,24.475,-17.6039,24.898,-18.0588,0.6212
Ground Floor,WAL-I-002,24.4018,-17.672,24.898,-18.0588,0.6292
Ground Floor,WAL-I-002,24.8248,-18.1269,24.898,-18.0588,0.1
Ground Floor,WAL-I-002,25.4376,-18.786,27.1314,-20.4609,2.3821
Ground Floor,WAL-I-002,27.0582,-20.529,27.1314,-20.4609,0.1
Ground Floor,WAL-I-002,24.475,-17.6039,24.4018,-17.672,0.1
Ground Floor,WAL-I-002,24.4018,-17.672,24.8248,-18.1269,0.6212
Ground Floor,WAL-I-002,25.4376,-18.786,27.0582,-20.529,2.38
Ground Floor,WAL-I-002,25.4376,-18.786,25.5108,-18.7179,0.1
Ground Floor,WAL-I-002,24.8248,-18.1269,24.898,-18.0588,0.1
Ground Floor,WAL-I-002,25.5108,-18.7179,27.1314,-20.4609,2.38
Ground Floor,WAL-I-002,25.4376,-18.786,27.0582,-20.529,2.38
Ground Floor,WAL-I-002,24.475,-17.6039,24.898,-18.0588,0.6212
Ground Floor,WAL-I-002,25.4376,-18.786,25.5108,-18.7179,0.1
Ground Floor,WAL-I-002,24.4018,-17.672,24.8248,-18.1269,0.6212
Ground Floor,WAL-I-002,25.5108,-18.7179,27.1314,-20.4609,2.38
Ground Floor,WAL-I-002,24.8248,-18.1269,24.898,-18.0588,0.1
Ground Floor,WAL-I-002,25.4376,-18.786,25.5108,-18.7179,0.1
Ground Floor,WAL-I-011,32.092,-21.9778,31.2864,-22.7268,1.1
Ground Floor,WAL-I-011,32.092,-21.9778,32.1601,-22.051,0.1
Ground Floor,WAL-I-011,31.3545,-22.8,32.1601,-22.051,1.1
Ground Floor,WAL-I-011,31.2864,-22.7268,32.1601,-22.051,1.1045
Ground Floor,WAL-I-011,31.2864,-22.7268,31.3545,-22.8,0.1
Ground Floor,WAL-I-016,32.4416,-23.8224,33.101,-23.2093,0.9004
Ground Floor,WAL-I-016,34.2579,-22.1337,34.326,-22.2069,0.1
Ground Floor,WAL-I-016,33.101,-23.2093,33.1691,-23.2825,0.1
Ground Floor,WAL-I-016,33.7602,-22.5965,34.2579,-22.1337,0.6796
Ground Floor,WAL-I-016,32.5097,-23.8956,33.1691,-23.2825,0.9004
